log_time,steering_angle_enable,steering_angle,target_acceleration_enable,target_acceleration,indicator_left_enable,indicator_left,indicator_right_enable,indicator_right,gear_position_enable,gear_position,ebrake_status_enable,ebrake_status,lane_change,timestamp,mqtt_send_timestamp
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154638
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154648
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154658
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154668
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154678
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154688
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154698
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154708
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154718
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154728
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154738
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154748
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154758
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154768
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154778
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154788
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154798
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154808
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154818
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154828
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154838
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154848
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154858
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154868
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154878
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154888
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154898
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154908
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154918
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154928
15:02:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1756710154938
